session date,observer id,session id,location id,participant id,session start,session end,observer/session/task id,What (RECORD CLERK),What (RECORD CLERK) (subcategories),start time,end time,elapsed time,total time,[With Whom] Doctor,[With Whom] Nurse,[With Whom] Patient,[With Whom] Relative,[With Whom] Allied Health Professional,[With Whom] Other,[With Whom] No One,[How] Paper Based Record,[How] Desktop Computer,[How] Mobile Computer,[How] Phone,Where,Comments,ended by,multi with,num of multitask fragments,total overlapping time,is interrupting task?,interrupted by,num of interrupts,active 1,is session complete?
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_32,Record Management,Retrieve Record,09:18:38,09:20:01,00:01:23,00:01:23,0,0,0,0,0,0,1,0,0,0,0,Other,Other :Records room,10172_10186_33,"",0,00:00:00,false,"",0,00:01:23,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_33,In Transit,0,09:20:01,09:22:17,00:02:16,00:02:16,0,0,0,0,0,0,1,0,0,0,0,Other,Other: 1st floor,10172_10186_34,"",0,00:00:00,false,"",0,00:02:16,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_34,Other,0,09:22:17,09:24:08,00:01:51,00:01:51,0,0,0,0,0,0,1,0,0,0,0,Other,"Search for medical records in medical records  A&E lounge
",10172_10186_35,"",0,00:00:00,false,"",0,00:01:51,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_35,Record Management,Retrieve Record,09:24:08,09:24:17,00:00:09,00:00:09,0,0,0,0,0,0,1,1,0,0,0,Other,0,10172_10186_36,"",0,00:00:00,false,"",0,00:00:09,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_36,Other,0,09:24:17,09:29:21,00:05:04,00:05:04,0,0,0,0,0,0,1,0,0,0,0,Other,Search for medical records.notes not found ,10172_10186_37,"",0,00:00:00,false,"",0,00:05:04,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_37,In Transit,0,09:29:21,09:30:17,00:00:56,00:00:56,0,0,0,0,0,0,1,0,0,0,0,Hallway,0,10172_10186_38,"",0,00:00:00,false,"",0,00:00:56,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_38,Other,0,09:30:17,09:31:58,00:01:41,00:01:41,0,0,0,0,0,0,1,1,0,0,0,Reception Desk,Documented retrieved patient information ,10172_10186_39,"",0,00:00:00,false,"",0,00:01:41,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_39,Activer Waiting,0,09:31:58,09:32:20,00:00:22,00:00:22,0,0,0,0,0,0,1,0,0,0,0,Reception Desk,0,10172_10186_40,"",0,00:00:00,false,"",0,00:00:22,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_40,Social-Personal Activities,0,09:32:20,09:37:44,00:05:24,00:05:24,0,0,0,0,0,0,1,0,0,0,0,Other,0,10172_10186_41,"",0,00:00:00,false,"",0,00:05:24,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_41,Inter Profesional Communication,0,09:37:44,09:46:44,00:09:00,00:09:00,1,0,0,0,0,0,0,1,0,0,0,Reception Desk,0,10172_10186_42,"",0,00:00:00,false,"",0,00:09:00,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_42,Social-Personal Activities,0,09:46:44,09:52:05,00:05:21,00:05:21,0,0,0,0,0,0,1,0,0,0,0,Reception Desk,0,10172_10186_43,"",0,00:00:00,false,"",0,00:05:21,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_43,Activer Waiting,0,09:52:05,09:58:32,00:06:27,00:06:27,0,0,0,0,0,0,1,0,0,0,0,Reception Desk,0,10172_10186_44,"",0,00:00:00,false,"",0,00:06:27,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_44,Other,0,09:58:32,09:59:28,00:00:56,00:00:56,0,0,0,0,0,0,1,0,0,0,0,Waiting Area,Checked clipboard,10172_10186_45,"",0,00:00:00,false,"",0,00:00:56,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_45,Register Patient,0,09:59:28,10:00:12,00:00:44,00:00:44,0,0,1,0,0,0,0,1,0,0,0,Reception Desk,0,10172_10186_46,"",0,00:00:00,false,"",0,00:00:44,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_46,Record Management,Retrieve Record,10:00:12,10:00:40,00:00:28,00:00:28,0,0,0,0,0,0,1,1,0,0,0,Reception Desk,0,10172_10186_47,"",0,00:00:00,false,"",0,00:00:28,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_47,Register Patient,0,10:00:40,10:02:40,00:02:00,00:02:00,0,0,1,0,0,0,0,1,0,0,0,Reception Desk,0,10172_10186_48,"",0,00:00:00,false,"",0,00:02:00,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_48,Patient Communication,0,10:02:40,10:03:02,00:00:22,00:00:22,0,0,1,0,0,0,0,0,0,0,0,Reception Desk,0,10172_10186_49,"",0,00:00:00,false,"",0,00:00:22,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_49,Inter Profesional Communication,0,10:03:02,10:03:25,00:00:23,00:00:23,0,1,0,0,0,0,0,1,0,0,0,Reception Desk,0,10172_10186_50,"",0,00:00:00,false,"",0,00:00:23,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_50,Patient Communication,0,10:03:25,10:04:08,00:00:43,00:00:43,0,0,1,0,0,0,0,0,0,0,0,Reception Desk,0,10172_10186_51,"",0,00:00:00,false,"",0,00:00:43,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_51,Record Management,Retrieve Record,10:04:08,10:05:48,00:01:40,00:01:40,0,0,0,0,0,0,1,1,0,0,0,Reception Desk,Search f,10172_10186_52,"",0,00:00:00,false,"",0,00:01:40,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_52,Register Patient,0,10:05:48,10:07:39,00:01:51,00:01:51,0,0,1,0,0,0,0,1,0,0,0,Reception Desk,0,10172_10186_53,"",0,00:00:00,false,"",0,00:01:51,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_53,Patient Communication,0,10:07:39,10:08:00,00:00:21,00:00:21,0,0,1,0,0,0,0,0,0,0,0,Reception Desk,0,10172_10186_54,"",0,00:00:00,false,"",0,00:00:21,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_54,Other,0,10:08:00,10:09:47,00:01:47,00:01:47,0,0,0,0,0,0,1,1,1,0,0,Reception Desk,Logged patient’s information in med data and Savance,10172_10186_55,"",0,00:00:00,false,"",0,00:01:47,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_55,Other,0,10:09:47,10:10:39,00:00:52,00:00:52,0,0,0,0,0,0,1,1,1,0,0,Reception Desk,Process admission,10172_10186_56,"",0,00:00:00,false,"",0,00:00:52,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_56,Inter Profesional Communication,0,10:10:39,10:10:59,00:00:20,00:00:20,0,1,0,0,0,1,0,0,0,0,0,Reception Desk,0,10172_10186_57,"",0,00:00:00,false,"",0,00:00:20,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_57,Other,0,10:10:59,10:22:16,00:11:17,00:11:17,0,0,0,0,0,0,1,1,1,0,0,Reception Desk,Process admission,10172_10186_58,"",0,00:00:00,false,"",0,00:11:17,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_58,Patient Communication,0,10:22:16,10:22:24,00:00:08,00:00:08,0,0,1,0,0,0,0,0,0,0,0,Reception Desk,0,10172_10186_59,"",0,00:00:00,false,"",0,00:00:08,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_59,Other,0,10:22:24,10:29:04,00:06:40,00:06:40,0,0,0,0,0,0,1,1,1,0,0,Reception Desk,Admission processing continues,10172_10186_60,"",0,00:00:00,false,"",0,00:06:40,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_60,Inter Profesional Communication,0,10:29:04,10:29:20,00:00:16,00:00:16,0,0,0,0,1,0,0,0,0,0,1,Reception Desk,0,10172_10186_61,"",0,00:00:00,false,"",0,00:00:16,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_61,Other,0,10:29:20,10:30:39,00:01:19,00:01:19,0,0,0,0,0,0,1,1,1,0,0,Reception Desk,Admission process continues,10172_10186_62,"",0,00:00:00,false,"",0,00:01:19,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_62,Print Data Sheets,0,10:30:39,10:31:01,00:00:22,00:00:22,0,0,0,0,0,0,1,1,0,0,0,Reception Desk,0,10172_10186_63,"",0,00:00:00,false,"",0,00:00:22,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_63,Other,0,10:31:01,10:32:04,00:01:03,00:01:03,0,0,0,0,0,0,1,1,0,0,0,Reception Desk,Documentation of admission on sheet and book,10172_10186_64,"",0,00:00:00,false,"",0,00:01:03,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_64,In Transit,0,10:32:04,10:32:21,00:00:17,00:00:17,0,0,0,0,0,0,1,0,0,0,0,Other,0,10172_10186_65,"",0,00:00:00,false,"",0,00:00:17,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_65,Patient Communication,0,10:32:21,10:32:41,00:00:20,00:00:20,0,0,1,1,0,0,0,1,0,0,0,Other,0,10172_10186_66,"",0,00:00:00,false,"",0,00:00:20,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_66,Inter Profesional Communication,0,10:32:41,10:33:22,00:00:41,00:00:41,0,0,0,0,1,0,0,1,0,0,0,Reception Desk,0,10172_10186_67,"",0,00:00:00,false,"",0,00:00:41,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_67,In Transit,0,10:33:22,10:33:52,00:00:30,00:00:30,0,0,0,0,0,0,1,0,0,0,0,Other,0,10172_10186_68,"",0,00:00:00,false,"",0,00:00:30,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_68,Other,0,10:33:52,10:36:25,00:02:33,00:02:33,0,0,0,0,0,0,1,1,1,0,0,Reception Desk,Check for patient’s hospital numbers and possible location of patients old notes,10172_10186_69,"",0,00:00:00,false,"",0,00:02:33,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_69,In Transit,0,10:36:25,10:37:16,00:00:51,00:00:51,0,0,0,0,0,0,1,0,0,0,0,Other,Doctor station,10172_10186_70,"",0,00:00:00,false,"",0,00:00:51,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_70,In Transit,0,10:37:16,10:37:55,00:00:39,00:00:39,0,0,0,0,0,0,1,0,0,0,0,Hallway,0,10172_10186_71,"",0,00:00:00,false,"",0,00:00:39,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_71,Register Patient,0,10:37:55,10:44:56,00:07:01,00:07:01,0,0,1,0,0,0,0,1,1,0,0,Reception Desk,0,10172_10186_72,"",0,00:00:00,false,"",0,00:07:01,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_72,Inter Profesional Communication,0,10:44:56,10:45:54,00:00:58,00:00:58,0,0,0,0,0,1,0,0,1,0,1,Reception Desk,0,10172_10186_73,"",0,00:00:00,false,"",0,00:00:58,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_73,Other,0,10:45:54,10:46:33,00:00:39,00:00:39,0,0,0,0,0,0,1,0,0,0,0,Waiting Area,Checked clipboard ,10172_10186_74,"",0,00:00:00,false,"",0,00:00:39,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_74,Register Patient,0,10:46:33,10:50:11,00:03:38,00:03:38,0,0,1,1,0,0,0,1,1,0,0,Reception Desk,0,10172_10186_75,"",0,00:00:00,false,"",0,00:03:38,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_75,Patient Communication,0,10:50:11,10:50:21,00:00:10,00:00:10,0,0,1,1,0,0,0,0,0,0,0,Reception Desk,0,10172_10186_76,"",0,00:00:00,false,"",0,00:00:10,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_76,Other,0,10:50:21,10:52:40,00:02:19,00:02:19,0,0,0,0,0,0,1,1,1,0,0,Reception Desk,Logged note information ,10172_10186_77,"",0,00:00:00,false,"",0,00:02:19,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_77,Inter Profesional Communication,0,10:52:40,10:52:54,00:00:14,00:00:14,0,1,0,0,0,0,0,1,0,0,0,Reception Desk,0,10172_10186_78,"",0,00:00:00,false,"",0,00:00:14,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_78,Other,0,10:52:54,10:53:24,00:00:30,00:00:30,0,0,0,0,0,0,1,0,0,0,0,Waiting Area,Checked clipboard ,10172_10186_79,"",0,00:00:00,false,"",0,00:00:30,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_79,Register Patient,0,10:53:24,10:56:12,00:02:48,00:02:48,0,0,1,1,0,0,0,1,1,0,0,Reception Desk,0,10172_10186_80,"",0,00:00:00,false,"",0,00:02:48,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_80,Inter Profesional Communication,0,10:56:12,10:56:32,00:00:20,00:00:20,0,1,0,0,0,0,0,1,0,0,0,Reception Desk,0,10172_10186_81,"",0,00:00:00,false,"",0,00:00:20,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_81,Register Patient,0,10:56:32,10:56:50,00:00:18,00:00:18,0,0,1,1,0,0,0,1,0,0,0,Reception Desk,0,10172_10186_82,"",0,00:00:00,false,"",0,00:00:18,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_82,Other,0,10:56:50,10:58:11,00:01:21,00:01:21,0,0,0,0,0,0,1,1,1,0,0,Reception Desk,Logged patient information ,10172_10186_83,"",0,00:00:00,false,"",0,00:01:21,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_83,Patient Communication,0,10:58:11,10:58:21,00:00:10,00:00:10,0,1,0,0,0,0,0,1,0,0,0,Reception Desk,0,10172_10186_84,"",0,00:00:00,false,"",0,00:00:10,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_84,Other,0,10:58:21,11:01:16,00:02:55,00:02:55,0,0,0,0,0,0,1,1,1,0,0,Reception Desk,Process admission ,10172_10186_85,"",0,00:00:00,false,"",0,00:02:55,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_85,Inter Profesional Communication,0,11:01:16,11:01:33,00:00:17,00:00:17,0,0,0,0,1,0,0,0,0,0,1,Reception Desk,0,10172_10186_86,"",0,00:00:00,false,"",0,00:00:17,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_86,Other,0,11:01:33,11:11:15,00:09:42,00:09:42,0,0,0,0,0,0,1,1,1,0,0,Reception Desk,Admission process continues,10172_10186_87,"",0,00:00:00,false,"",0,00:09:42,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_87,Other,0,11:11:15,11:12:49,00:01:34,00:01:34,0,0,0,0,0,0,1,1,0,0,0,Reception Desk,Documented the admission ,10172_10186_88,"",0,00:00:00,false,"",0,00:01:34,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_88,Other,0,11:12:49,11:13:18,00:00:29,00:00:29,0,0,0,0,0,0,1,1,0,0,0,Waiting Area,Checks clipboard,10172_10186_89,"",0,00:00:00,false,"",0,00:00:29,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_89,Register Patient,0,11:13:18,11:17:38,00:04:20,00:04:20,0,0,1,0,0,0,0,1,1,0,0,Reception Desk,0,10172_10186_90,"",0,00:00:00,false,"",0,00:04:20,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_90,Other,0,11:17:38,11:18:15,00:00:37,00:00:37,0,0,0,0,0,0,1,1,0,0,0,Waiting Area,Check clipboard,10172_10186_91,"",0,00:00:00,false,"",0,00:00:37,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_91,Register Patient,0,11:18:15,11:22:43,00:04:28,00:04:28,0,0,0,0,0,0,1,1,1,0,0,Reception Desk,Patients in a wheelchair chair registration done by using information in the computer system,10172_10186_92,"",0,00:00:00,false,"",0,00:04:28,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_92,Other,0,11:22:43,11:23:39,00:00:56,00:00:56,0,0,0,0,0,0,1,1,0,0,0,Waiting Area,Checked clipboard ,10172_10186_93,"",0,00:00:00,false,"",0,00:00:56,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_93,Register Patient,0,11:23:39,11:26:11,00:02:32,00:02:32,0,0,1,0,0,0,0,1,1,0,0,Reception Desk,0,10172_10186_94,"",0,00:00:00,false,"",0,00:02:32,TRUE
